epoch,loss,avg_dice,avg_precision,avg_recall,avg_accuracy,Tumor Core (TC)_dice,Tumor Core (TC)_precision,Tumor Core (TC)_recall,Tumor Core (TC)_accuracy,Whole Tumor (WT)_dice,Whole Tumor (WT)_precision,Whole Tumor (WT)_recall,Whole Tumor (WT)_accuracy,Enhancing Tumor (ET)_dice,Enhancing Tumor (ET)_precision,Enhancing Tumor (ET)_recall,Enhancing Tumor (ET)_accuracy,epoch_time_sec
124,0.152346,0.882980,0.874363,0.898056,0.994797,0.911948,0.917590,0.910417,0.999513,0.921596,0.923298,0.921446,0.999004,0.815396,0.782200,0.862303,0.985874,150.20
125,0.146674,0.886456,0.876658,0.904372,0.997103,0.917883,0.919066,0.918590,0.999556,0.924199,0.924742,0.925328,0.999020,0.817286,0.786166,0.869197,0.992735,152.45
126,0.144740,0.884572,0.877934,0.898724,0.994818,0.915594,0.917326,0.916933,0.999536,0.923983,0.926875,0.922571,0.999025,0.814138,0.789601,0.856667,0.985893,153.53
127,0.142861,0.888693,0.880782,0.902037,0.997098,0.916582,0.917766,0.918220,0.999552,0.920726,0.923059,0.920604,0.999000,0.828770,0.801521,0.867286,0.992741,153.80
128,0.138296,0.889543,0.883024,0.900702,0.994827,0.919650,0.924112,0.917223,0.999556,0.924636,0.925655,0.924976,0.999024,0.824344,0.799304,0.859907,0.985901,152.80
129,0.138725,0.890544,0.882914,0.905371,0.999389,0.917150,0.920169,0.917392,0.999546,0.924167,0.924920,0.924988,0.999034,0.830316,0.803654,0.873732,0.999587,151.59
130,0.136256,0.889342,0.881110,0.904448,0.999393,0.916262,0.915972,0.919709,0.999555,0.922019,0.924223,0.922050,0.999015,0.829744,0.803135,0.871585,0.999609,152.65
131,0.140904,0.883663,0.878534,0.897709,0.997075,0.912148,0.916826,0.911442,0.999521,0.918806,0.920069,0.920158,0.998972,0.820035,0.798707,0.861525,0.992732,152.53
132,0.139334,0.887882,0.883063,0.899548,0.999358,0.907602,0.913026,0.908147,0.999505,0.920016,0.922625,0.920527,0.998974,0.836029,0.813537,0.869972,0.999595,151.88
133,0.134963,0.891368,0.885455,0.903104,0.999393,0.917571,0.918792,0.919384,0.999546,0.923964,0.925182,0.924032,0.999031,0.832570,0.812392,0.865895,0.999603,152.49
134,0.131263,0.887929,0.880604,0.901593,0.997118,0.916447,0.918682,0.916748,0.999556,0.924385,0.925531,0.925359,0.999029,0.822954,0.797600,0.862670,0.992768,151.13
135,0.131676,0.891522,0.884092,0.904919,0.999387,0.915314,0.915647,0.917855,0.999549,0.924551,0.926514,0.924453,0.999026,0.834699,0.810114,0.872450,0.999587,149.33
136,0.132148,0.888143,0.885250,0.898569,0.997094,0.914516,0.919510,0.913749,0.999543,0.921373,0.925786,0.919679,0.998995,0.828539,0.810453,0.862279,0.992742,154.20
137,0.131581,0.887346,0.882836,0.899279,0.997100,0.912855,0.916933,0.912569,0.999524,0.924093,0.924054,0.925859,0.999021,0.825092,0.807521,0.859408,0.992756,154.00
138,0.126912,0.894347,0.889096,0.905066,0.999401,0.917348,0.919253,0.918856,0.999550,0.924214,0.927022,0.923573,0.999027,0.841479,0.821014,0.872768,0.999627,152.13
